year,exporter,exporter_iso3,importer,importer_iso3,trade_value_usd
2020,France,FRA,Sierra Leone,SLE,43126.873
2020,France,FRA,India,IND,6598853.612
2020,France,FRA,Singapore,SGP,1161579265.67
2020,France,FRA,Slovakia,SVK,7151873.814
2020,France,FRA,Viet Nam,VNM,51675601.6
2020,France,FRA,Slovenia,SVN,5420406.892
2020,France,FRA,Somalia,SOM,131963.53
2020,France,FRA,South Africa,ZAF,24310898.627
2020,France,FRA,Spain,ESP,392352743.09
2020,France,FRA,Sudan,SDN,14507.159
2020,France,FRA,Sweden,SWE,77692134.88
2020,France,FRA,Switzerland,CHE,147515314.298
2020,France,FRA,Tajikistan,TJK,55070.574
2020,France,FRA,Thailand,THA,21237671.644
2020,France,FRA,Togo,TGO,1700551.131
2020,France,FRA,Trinidad and Tobago,TTO,18781.702
2020,France,FRA,United Arab Emirates,ARE,143029300.594
2020,France,FRA,Tunisia,TUN,19309793.69
2020,France,FRA,Türkiye,TUR,81332673.428
2020,France,FRA,Turkmenistan,TKM,60816.079
2020,France,FRA,Uganda,UGA,104351.805
2020,France,FRA,Ukraine,UKR,44458820.349
2020,France,FRA,North Macedonia,MKD,711869.211
2020,France,FRA,Egypt,EGY,11519835.087
2020,France,FRA,United Kingdom,GBR,473169898.171
2020,France,FRA,United Rep. of Tanzania,TZA,100.039
2020,France,FRA,USA,USA,810120254.789
2020,France,FRA,Burkina Faso,BFA,1275944.757
2020,France,FRA,Uruguay,URY,7603230.414
2020,France,FRA,Uzbekistan,UZB,913156.867
2020,France,FRA,Venezuela,VEN,54786.932
2020,France,FRA,Wallis and Futuna Isds,WLF,29866.164
2020,France,FRA,Yemen,YEM,110894.918
2020,France,FRA,"Areas, nes",_X ,952204.402
2021,France,FRA,Afghanistan,AFG,679792.862
